1724082385.1331;3.0200;1.1300;0.01786;0.788;2.618;3.490|
1724082388.0078;3.0700;1.1050;0.00271;0.694;2.614;3.447|
1724082388.2881;3.0550;1.0950;0.00001;0.656;2.651;3.438|
1724082388.4954;3.0700;1.1100;0.00208;0.694;2.618;3.439|
1724082388.6042;3.0800;1.1100;0.00394;0.699;2.600;3.447|
1724082388.7932;3.1200;1.1050;0.00497;0.689;2.558;3.434|
1724082388.8917;3.0400;1.0800;0.00491;0.694;2.623;3.490|
1724082388.9864;3.0800;1.0800;0.00323;0.670;2.595;3.466|
1724082389.1886;3.0350;1.1050;0.00209;0.703;2.651;3.462|
1724082389.2853;3.0850;1.1000;0.00058;0.666;2.614;3.429|
1724082389.3864;3.0450;1.1050;0.00524;0.713;2.623;3.471|
1724082389.4870;3.0350;1.0900;0.00163;0.684;2.647;3.471|
1724082389.5863;3.0750;1.1050;0.00361;0.694;2.604;3.452|
1724082389.6871;3.0600;1.0700;0.00388;0.670;2.609;3.490|
1724082389.7850;3.0300;1.1000;0.00639;0.722;2.633;3.485|
1724082389.8894;3.1000;1.0950;0.00218;0.670;2.586;3.439|
1724082389.9833;3.0750;1.0750;0.01009;0.694;2.576;3.499|
1724082390.0884;3.0400;1.0900;0.00585;0.708;2.623;3.485|
1724082390.1922;3.0600;1.1050;0.00021;0.670;2.642;3.434|
1724082390.2853;4.8350;0.5550;1.30951;0.699;0.000;3.462|
1724082390.4018;3.0750;1.0900;0.00094;0.661;2.614;3.447|
1724082390.4902;3.0500;1.1250;0.00022;0.694;2.656;3.420|
1724082390.5971;3.0450;1.0850;0.00322;0.689;2.628;3.476|
1724082390.6860;3.0650;1.1250;0.00001;0.680;2.647;3.406|
1724082390.7958;3.0800;1.1100;0.00110;0.680;2.614;3.429|
1724082390.8909;3.0950;1.0650;0.00540;0.661;2.567;3.480|
1724082390.9933;3.0550;1.0900;0.00573;0.699;2.609;3.480|
1724082391.0877;3.0750;1.1150;0.00136;0.689;2.618;3.429|
1724082391.1881;3.0250;1.0900;0.00243;0.694;2.651;3.480|
1724082391.2921;3.0600;1.1050;0.00199;0.694;2.628;3.447|
1724082391.3885;2.9950;1.1500;0.00062;0.750;2.712;3.429|
1724082391.4836;3.0700;1.1150;0.00068;0.684;2.628;3.425|
1724082391.5938;3.0550;1.1000;0.00038;0.670;2.642;3.443|
1724082391.6891;3.0550;1.0950;0.00813;0.713;2.604;3.485|
1724082391.7897;3.0700;1.1000;0.00362;0.694;2.609;3.457|
1724082391.8921;3.0500;1.0750;0.00961;0.703;2.600;3.508|
1724082391.9923;3.0350;1.1100;0.00576;0.727;2.633;3.471|
1724082392.0813;3.0750;1.1200;0.00033;0.680;2.628;3.415|
1724082392.1856;3.0900;1.0850;0.00321;0.670;2.586;3.457|
