1724085030.8252;3.0400;1.0650;0.00759;0.694;2.614;3.513|
1724085031.1182;4.7300;1.8650;9.26496;0.699;0.000;0.000|
1724085031.2729;3.0400;1.0800;0.00491;0.694;2.623;3.490|
1724085031.3708;3.0350;1.0600;0.00100;0.652;2.647;3.494|
1724085031.4718;3.0750;1.0900;0.00094;0.661;2.614;3.447|
1724085031.5697;3.0550;1.0900;0.00502;0.699;2.614;3.476|
1724085031.6708;3.0300;1.0950;0.00198;0.694;2.651;3.471|
1724085031.7703;3.0500;1.0650;0.00293;0.666;2.623;3.494|
1724085031.8694;3.0650;1.0950;0.00355;0.689;2.609;3.462|
1724085031.9688;3.0500;1.1000;0.00048;0.675;2.647;3.447|
1724085032.0721;3.0600;1.0900;0.00213;0.680;2.623;3.462|
1724085032.1713;3.0800;1.1200;0.00139;0.694;2.614;3.420|
1724085032.2694;3.0400;1.0750;0.00307;0.680;2.633;3.490|
1724085032.3700;3.0550;1.1150;0.00387;0.713;2.623;3.452|
1724085032.4711;3.0550;1.0950;0.00395;0.694;2.618;3.471|
1724085032.5696;3.0400;1.0800;0.00043;0.661;2.651;3.466|
1724085032.6720;3.0700;1.0500;0.00808;0.666;2.581;3.518|
1724085032.7701;3.0300;1.0700;0.00243;0.675;2.642;3.494|
1724085032.8709;3.0700;1.0950;0.00072;0.666;2.623;3.443|
1724085032.9694;3.0600;1.1000;0.00166;0.684;2.628;3.452|
1724085033.0695;3.0650;1.0850;0.00684;0.694;2.595;3.485|
1724085033.1694;3.0550;1.1150;0.00356;0.713;2.623;3.447|
1724085033.2724;3.0550;1.1100;0.00185;0.699;2.633;3.443|
1724085033.3701;3.0750;1.1000;0.00122;0.675;2.614;3.438|
1724085033.4691;3.0150;1.0550;0.00648;0.689;2.637;3.532|
1724085033.5705;3.0400;1.1050;0.00231;0.703;2.642;3.457|
1724085033.6732;3.0350;1.0600;0.00024;0.642;2.656;3.485|
1724085033.7698;3.0750;1.1050;0.00149;0.680;2.614;3.439|
1724085033.8706;3.0500;1.1050;0.00053;0.680;2.647;3.443|
1724085033.9708;3.0150;1.0800;0.00530;0.708;2.647;3.504|
1724085034.0702;3.0700;1.0900;0.00066;0.661;2.623;3.447|
1724085034.1690;3.0550;1.1050;0.00255;0.699;2.628;3.452|
1724085034.2699;3.0500;1.1050;0.00081;0.684;2.642;3.443|
1724085034.3692;3.0550;1.1000;0.00342;0.699;2.623;3.462|
1724085034.4710;3.0700;1.1000;0.00166;0.680;2.618;3.447|
1724085034.5714;3.0400;1.0950;0.00221;0.694;2.642;3.466|
1724085034.6712;3.0600;1.1150;0.00259;0.703;2.623;3.443|
1724085034.7710;3.0500;1.0950;0.00014;0.666;2.651;3.443|
1724085034.8693;3.0600;1.1250;0.00014;0.689;2.647;3.411|
1724085034.9701;3.0400;1.1050;0.00412;0.713;2.633;3.466|
1724085035.0696;3.0400;1.0850;0.00164;0.680;2.642;3.471|
1724085035.1690;3.0350;1.1050;0.00083;0.689;2.656;3.452|
1724085035.2695;3.0550;1.0950;0.00046;0.670;2.642;3.447|
1724085035.3681;3.0350;1.1150;0.00053;0.699;2.665;3.438|
1724085035.4702;3.0600;1.1100;0.00162;0.694;2.628;3.439|
1724085035.5666;3.0900;1.0900;0.00304;0.675;2.590;3.452|
1724085035.6666;3.0350;1.1000;0.00140;0.694;2.651;3.457|
1724085035.7681;3.0600;1.0900;0.00085;0.670;2.633;3.452|
1724085035.8688;3.0450;1.1250;0.00157;0.713;2.647;3.434|
1724085035.9696;3.0000;1.0500;0.00369;0.680;2.661;3.532|
1724085036.0670;3.0850;1.1150;0.01311;0.736;2.567;3.466|
1724085036.1698;3.0450;1.1150;0.00111;0.699;2.651;3.443|
1724085036.2701;3.0550;1.1100;0.00141;0.694;2.637;3.443|
1724085036.3663;3.0150;1.0700;0.00364;0.689;2.651;3.508|
1724085036.4691;3.0600;1.1050;0.00784;0.722;2.604;3.471|
1724085036.5686;3.0600;1.0950;0.00122;0.675;2.628;3.452|
1724085036.6692;3.0850;1.0900;0.00373;0.680;2.590;3.457|
1724085036.7700;3.0750;1.1250;0.00620;0.727;2.600;3.443|
1724085036.8694;3.0450;1.0450;0.00713;0.670;2.604;3.527|
1724085036.9699;3.0950;1.0650;0.00719;0.666;2.562;3.490|
1724085037.0671;3.0400;1.0700;0.00109;0.661;2.642;3.480|
1724085037.1693;3.0500;1.1000;0.00078;0.680;2.642;3.447|
1724085037.2699;3.0350;1.0850;0.00534;0.703;2.628;3.490|
1724085037.3674;3.0900;1.0850;0.00707;0.689;2.572;3.471|
